log_size,precomp,c,msm_time(ms)
11.0,23.0,12.0,5.97
11.0,23.0,13.0,1.475
11.0,23.0,14.0,6.25
11.0,23.0,15.0,1.285
11.0,23.0,16.0,1.292
11.0,23.0,17.0,1.565
11.0,23.0,18.0,6.733
11.0,23.0,19.0,2.498
11.0,23.0,20.0,3.846
11.0,23.0,21.0,10.68
11.0,23.0,22.0,13.541
11.0,23.0,23.0,23.947
11.0,24.0,9.0,6.602
11.0,24.0,10.0,3.217
11.0,24.0,11.0,1.444
11.0,24.0,12.0,6.059
11.0,24.0,13.0,1.446
11.0,24.0,14.0,6.141
11.0,24.0,15.0,1.469
11.0,24.0,16.0,1.312
11.0,24.0,17.0,1.894
11.0,24.0,18.0,6.738
11.0,24.0,19.0,2.495
11.0,24.0,20.0,3.897
11.0,24.0,21.0,10.312
11.0,24.0,22.0,13.434
11.0,24.0,23.0,23.536
12.0,7.0,9.0,3.173
12.0,7.0,10.0,2.81
12.0,7.0,11.0,2.629
12.0,7.0,12.0,2.648
12.0,7.0,13.0,2.616
12.0,7.0,14.0,12.362
12.0,7.0,15.0,2.793
12.0,7.0,16.0,2.69
12.0,7.0,17.0,3.95
12.0,7.0,18.0,13.437
12.0,7.0,19.0,5.146
12.0,7.0,20.0,7.03
12.0,7.0,21.0,19.548
12.0,7.0,22.0,23.438
12.0,7.0,23.0,46.585
12.0,8.0,9.0,3.263
12.0,8.0,10.0,2.553
12.0,8.0,11.0,2.457
12.0,8.0,12.0,2.498
12.0,8.0,13.0,2.62
12.0,8.0,14.0,12.515
12.0,8.0,15.0,2.533
12.0,8.0,16.0,2.323
12.0,8.0,17.0,2.815
12.0,8.0,18.0,12.83
12.0,8.0,19.0,4.943
12.0,8.0,20.0,7.738
12.0,8.0,21.0,20.63
12.0,8.0,22.0,23.941
12.0,8.0,23.0,46.036
12.0,9.0,9.0,3.226
12.0,9.0,10.0,4.692
12.0,9.0,11.0,2.652
12.0,9.0,12.0,2.516
12.0,9.0,13.0,2.622
12.0,9.0,14.0,12.72
12.0,9.0,15.0,2.139
12.0,9.0,16.0,2.33
12.0,9.0,17.0,2.728
12.0,9.0,18.0,13.021
12.0,9.0,19.0,7.596
12.0,9.0,20.0,7.367
12.0,9.0,21.0,23.821
12.0,9.0,22.0,26.394
12.0,9.0,23.0,45.996
12.0,10.0,9.0,3.097
12.0,10.0,10.0,4.875
12.0,10.0,11.0,2.519
12.0,10.0,12.0,2.779
12.0,10.0,13.0,2.456
12.0,10.0,14.0,12.025
12.0,10.0,15.0,2.23
12.0,10.0,16.0,2.342
12.0,10.0,17.0,2.718
12.0,10.0,18.0,13.203
12.0,10.0,19.0,7.93
12.0,10.0,20.0,10.073
12.0,10.0,21.0,20.009
12.0,10.0,22.0,24.259
12.0,10.0,23.0,66.706
12.0,11.0,9.0,3.113
12.0,11.0,10.0,5.023
12.0,11.0,11.0,3.587
12.0,11.0,12.0,2.657
12.0,11.0,13.0,2.416
12.0,11.0,14.0,12.473
12.0,11.0,15.0,2.139
12.0,11.0,16.0,2.303
12.0,11.0,17.0,2.722
12.0,11.0,18.0,12.745
12.0,11.0,19.0,4.868
12.0,11.0,20.0,7.563
12.0,11.0,21.0,19.954
12.0,11.0,22.0,27.404
12.0,11.0,23.0,50.108
12.0,12.0,9.0,3.152
12.0,12.0,10.0,4.931
12.0,12.0,11.0,2.228
12.0,12.0,12.0,2.294
12.0,12.0,13.0,3.172
12.0,12.0,14.0,12.03
12.0,12.0,15.0,2.139
12.0,12.0,16.0,2.328
12.0,12.0,17.0,3.251
12.0,12.0,18.0,12.885
12.0,12.0,19.0,5.088
12.0,12.0,20.0,7.251
